ZIP_CODE,PO_NAME,New York Yankees,New York Mets,Boston Red Sox,Washington Nationals,Tampa Bay Rays
11229,Brooklyn,36.66,48.95,2.21,0.33,0.33
11230,Brooklyn,36.88,36.61,4.61,1.06,0.71
11231,Brooklyn,28.96,49.1,4.18,1.64,0.45
11232,Brooklyn,29.64,55.99,2.99,1.2,0.6
11233,Brooklyn,38.34,48.7,1.04,0.52,0.26
11234,Brooklyn,31.35,50.34,2.68,0.86,0.67
11235,Brooklyn,35.65,48.7,2.83,1.3,0.65
11236,Brooklyn,37,48.5,1.5,2.5,0.5
11237,Brooklyn,37.57,51.24,2.07,0.28,0.69
11238,Brooklyn,31.33,45.95,4.31,1.44,0.26
11239,Brooklyn,39.33,48.31,1.12,nan,
11249,Brooklyn,32.96,42.56,2.82,1.69,1.32
11251,Brooklyn,100,,,nan,
11354,Flushing,16.09,76.88,1.4,0.13,0.77
11355,Flushing,12.7,80.6,1.28,0.57,0.57
11356,College Point,16.18,75.35,1.69,0.31,0.77
11357,Whitestone,17.78,71.75,2.36,0.71,1.02
11358,Flushing,12.96,78.1,1.68,0.67,0.56
11360,Bayside,11.28,74.19,3.71,0.62,0.46
11361,Bayside,18.03,67.96,3.24,0.52,1.43
11362,Little Neck,13.85,79.74,1.79,0.26,0.77
11363,Little Neck,17.57,72.97,1.35,0.68,2.03
11364,Oakland Gardens,21.42,65.98,2.52,0.47,1.1
11365,Fresh Meadows,19.68,70.41,0.73,0.87,1.17
11366,Fresh Meadows,15.02,66.52,0.43,1.29,
11367,Flushing,20.08,69.19,2.48,0.41,0.41
11368,Corona,22.81,71.38,0.55,0.37,0.55
11369,East Elmhurst,15.87,78.35,1.32,0.66,0.5
11370,East Elmhurst,20.46,70.57,1.84,0.46,0.46
11372,Jackson Heights,14.7,77.62,0.86,0.38,0.29
11373,Elmhurst,23.28,70.02,1.05,0.57,0.67
11374,Rego Park,22.67,66.06,2.1,0.66,1.05
11375,Forest Hills,20.25,68.09,2.13,0.95,0.65
11377,Woodside,25.07,65.99,1.33,0.49,0.42
11378,Maspeth,19.32,69.26,1.41,0.47,0.71
11379,Middle Village,18.92,70.21,2.07,0.83,1.74
11385,Ridgewood,24.93,62.96,2.28,0.94,0.89
11411,Cambria Heights,20.62,69.07,2.06,nan,1.03
11412,Saint Albans,29.05,58.11,2.7,1.35,2.03
11413,Springfield Gardens,14.04,67.42,2.25,1.69,1.69
11414,Howard Beach,23.99,66.71,2.03,0.72,0.72
11415,Kew Gardens,25.52,63.69,2.9,0.41,0.21
11416,Ozone Park,25.15,65.79,0.58,0.29,
11417,Ozone Park,26.36,61.09,1.46,1.26,0.84
11418,Richmond Hill,23.06,70.51,1.7,nan,0.57
11419,South Richmond Hill,24.84,65.48,0.97,1.94,0.65
11420,South Ozone Park,27.6,62.61,0.89,0.89,2.08
11421,Woodhaven,20.59,68.51,1.9,0.69,0.35
11422,Rosedale,21.18,60.59,0.59,1.18,1.18
11423,Hollis,21.72,70.59,0.45,0.45,0.9
11426,Bellerose,19.8,69.8,0.76,0.76,1.02
11427,Queens Village,26.67,62.46,2.11,0.7,
11428,Queens Village,24.23,70.62,1.03,0.52,
11429,Queens Village,31.15,63.11,,nan,0.82
11430,Jamaica,,33.33,,nan,
11432,Jamaica,24.11,68.58,1.56,0.93,0.16
11433,Jamaica,17.36,75,0.69,0.69,
11434,Jamaica,23.48,62.12,1.52,0.76,
11435,Jamaica,25.51,66.12,1.63,0.82,0.2
11436,Jamaica,29.73,64.86,,nan,1.35
11439,Jamaica,,100,,nan,
11501,Mineola,28.85,58.89,1.94,0.6,0.9
11507,Albertson,22.49,53.59,6.7,0.96,1.91
11509,Atlantic Beach,26.32,56.58,,2.63,
11510,Baldwin,22.46,57.63,3.44,1.2,1.05
11514,Carle Place,19.05,61.31,2.98,2.38,1.79
11516,Cedarhurst,31.79,50.36,1.43,1.07,1.79
11518,East Rockaway,22.22,65.36,2.4,1.31,2.18
11520,Freeport,29.23,56.37,2.3,0.84,1.25
11530,Garden City,16.94,67.35,2.92,1.75,0.76
11542,Glen Cove,21.04,64.16,3.38,1.3,1.04
11545,Glen Head,23.35,63.27,4.03,0.64,0.42
11547,Glenwood Landing,19.15,74.47,2.13,nan,
11548,Greenvale,31.82,63.64,,2.27,
11549,Hempstead,57.14,42.86,,nan,
11550,Hempstead,23.24,63.92,3.15,0.97,0.73
11552,West Hempstead,23.27,63.66,2.35,1.05,1.44
11553,Uniondale,26.78,61.2,1.09,0.55,
11554,East Meadow,26.22,58.36,3.14,1.05,0.52
11557,Hewlett,24.45,54.15,3.06,1.75,1.75
11558,Island Park,24.7,62.95,1.99,1.59,
11559,Lawrence,30.85,54.82,0.55,0.55,0.28
11560,Locust Valley,24.34,56.19,6.64,0.88,0.88
11561,Long Beach,21.75,59.08,3.75,1.58,1
11563,Lynbrook,16.63,67.25,4.25,1.13,0.88
11565,Malverne,23.56,58.4,4.51,1.5,1
11566,Merrick,24.95,57.62,3.11,1.12,1
11568,Old Westbury,26.72,46.55,4.31,2.59,1.72
11569,Point Lookout,16.67,51.85,9.26,nan,
11570,Rockville Centre,17.73,65.29,4.26,1.3,0.74
11572,Oceanside,22.41,64.32,2.57,0.91,0.83
11575,Roosevelt,53.85,41.88,0.85,nan,
11576,Roslyn,22.03,60.13,5.29,0.88,0.66
11577,Roslyn Heights,21.8,60,2.4,1.6,1.4
11579,Sea Cliff,14.92,59.12,3.31,1.1,0.55
11580,Valley Stream,22.51,61.97,2.98,1.42,1.03
11581,Valley Stream,23.36,65.11,2.65,0.47,
11590,Westbury,27,57.63,3.03,0.91,0.61
11596,Williston Park,22.87,62.4,3.49,1.16,0.78
11598,Woodmere,23.05,56.63,2.02,1.01,0.43
11691,Far Rockaway,35.06,44.63,0.91,1.16,0.78
11692,Arverne,32.03,57.81,,nan,0.78
11693,Far Rockaway,22.47,61.42,2.25,0.75,0.75
11694,Rockaway Park,25.74,58.03,3.43,1.72,0.94
11697,Breezy Point,18.57,64.29,4.29,0.95,0.95
11701,Amityville,27.58,54.9,3.35,nan,1.03
11702,Babylon,26.04,50.38,5.66,0.75,0.19
11703,North Babylon,23.26,61.1,3.38,0.63,1.9
11704,West Babylon,25.16,56.21,3.21,1.07,1.07
11705,Bayport,25.63,52.39,5.07,3.94,0.56
11706,Bay Shore,29.29,56.77,3.11,0.1,0.9
11709,Bayville,25.93,59.26,3.7,2.06,0.41
11710,Bellmore,26.09,56.75,3.31,0.98,1.2
11713,Bellport,42.68,37.58,5.1,3.18,0.64
11714,Bethpage,27.45,57.42,2.83,1.31,0.91
11715,Blue Point,26.6,53.72,3.72,0.53,
11716,Bohemia,24.27,57.28,5.18,0.32,1.62
11717,Brentwood,42.35,46.33,2.1,0.63,1.26
11718,Brightwaters,30.69,42.57,1.98,2.97,
11719,Brookhaven,28.95,53.95,3.95,nan,1.32
11720,Centereach,29.04,55.62,4.38,0.27,0.41
11721,Centerport,17.72,57.09,7.09,1.97,0.39
11722,Central Islip,42.55,44.07,2.13,0.91,
11724,Cold Spring Harbor,25.22,47.83,6.96,2.61,0.87
11725,Commack,25.42,55.17,4.42,1.58,1
11726,Copiague,33.19,52.52,1.26,0.42,1.68
11727,Coram,30.61,53.22,3.48,0.7,1.22
11729,Deer Park,27.33,60.66,1.84,1.1,0.86
11730,East Islip,26.84,54.33,4.11,1.52,1.08
11731,East Northport,27.82,56.93,3.79,1.2,0.46
11732,East Norwich,18.8,60.9,5.26,1.5,0.75
11733,East Setauket,27.47,49.49,5.66,3.03,0.2
11735,Farmingdale,26.17,54.95,3.2,1.5,0.8
11738,Farmingville,26.86,58.73,1.53,0.66,0.87
11739,Great River,17.65,44.12,11.76,nan,2.94
11740,Greenlawn,21.19,55.96,4.64,0.33,1.32
11741,Holbrook,23.14,58.74,4.4,1.89,1.51
11742,Holtsville,29.02,56.48,3.89,1.3,0.78
11743,Huntington,25.88,55.17,4.87,1.28,1.11
11746,Huntington Station,22.95,56.84,4.66,1.37,0.84
11747,Melville,21.63,59.19,3.72,1.86,1.16
11749,Islandia,22.22,51.85,5.56,nan,
11751,Islip,16.18,71.79,3.21,0.53,1.2
11752,Islip Terrace,25.4,61.59,3.49,0.63,0.63
11753,Jericho,22.13,59.56,3.01,2.46,1.09
11754,Kings Park,27.75,54.55,4.47,1.75,1.28
11755,Lake Grove,37.6,46.32,2.72,1.36,1.63
11756,Levittown,23.87,60.98,4.77,1.01,0.6
11757,Lindenhurst,26.75,57.69,2.98,0.84,1.12
11758,Massapequa,24.71,55.85,4.17,1.33,1.01
11762,Massapequa Park,22.7,63.34,3.59,0.78,0.78
11763,Medford,28.96,54.91,3.8,2.22,0.63
11764,Miller Place,30.95,52.63,4,0.42,1.26
11765,Mill Neck,,72.73,,27.27,
11766,Mount Sinai,29.17,49.22,5.21,1.56,1.82
11767,Nesconset,22.13,55.34,5.34,1.38,1.98
11768,Northport,26.43,52.06,4.81,1.83,0.92
11769,Oakdale,29.46,51.34,5.36,0.45,2.68
11770,Ocean Beach,,,,50,
11771,Oyster Bay,21.05,57.89,3.62,1.32,0.99
11772,Patchogue,29.14,52.72,3.87,1.21,1.57
11776,Port Jefferson Station,31.97,48.31,6.57,0.71,0.53
11777,Port Jefferson,29.04,51.1,4.41,1.47,0.37
11778,Rocky Point,23.24,61,4.56,nan,
11779,Ronkonkoma,30.89,52.21,4.73,0.91,0.8
11780,Saint James,26.14,46.93,5.35,1.19,0.59
11782,Sayville,29.92,51.57,3.54,2.36,0.79
11783,Seaford,21,63.77,4.54,1.14,1.14
11784,Selden,30.81,57.83,2.75,0.52,0.52
11786,Shoreham,24.61,57.81,5.86,1.56,1.56
11787,Smithtown,28.51,49.88,4.73,1.01,2.01
11788,Hauppauge,24.45,53.15,3.94,1.74,0.95
11789,Sound Beach,38.95,45.35,4.07,0.58,1.74
11790,Stony Brook,20.15,54.85,6.38,1.53,0.26
11791,Syosset,26.58,54.33,4.55,1.03,0.88
11792,Wading River,31.58,47.37,7.18,nan,0.96
11793,Wantagh,24.71,61.04,3.24,1.15,0.47
11795,West Islip,28.6,52.51,5.25,1.01,1.34
11796,West Sayville,26.23,54.92,5.74,3.28,0.82
11797,Woodbury,23.88,53.37,3.65,1.97,0.84
11798,Wyandanch,22.47,50.56,2.25,1.12,1.12
11801,Hicksville,22.99,62.52,3.72,0.68,0.68
11803,Plainview,25.27,56.69,3.34,0.47,0.93
11804,Old Bethpage,26.64,52.84,4.37,3.06,0.87
11901,Riverhead,29.3,48.05,5.86,1.95,0.78
11930,Amagansett,35,30,5,5,
11932,Bridgehampton,20,27.5,15,7.5,
11933,Calverton,24.51,54.9,6.86,2.94,1.96
11934,Center Moriches,30.67,45.78,3.11,0.89,1.33
11935,Cutchogue,20,51.11,2.22,2.22,2.22
11937,East Hampton,23.96,39.58,10.42,4.17,2.08
11939,East Marion,10,80,,nan,
11940,East Moriches,36.43,47.14,4.29,0.71,0.71
11941,Eastport,25.29,48.28,2.3,3.45,
11942,East Quogue,16.54,65.41,7.52,2.26,0.75
11944,Greenport,21.15,53.85,7.69,3.85,
11946,Hampton Bays,26.25,43.24,6.18,1.16,1.93
11947,Jamesport,22.22,59.26,,nan,
11948,Laurel,17.5,60,2.5,nan,2.5
11949,Manorville,24.26,56.87,5.39,1.08,0.54
11950,Mastic,22.89,62.32,2.11,0.35,1.06
11951,Mastic Beach,23.33,66.11,2.22,nan,1.67
11952,Mattituck,22.73,56.36,5.45,2.73,
11953,Middle Island,29.95,53.14,3.86,1.93,0.48
11954,Montauk,31.25,31.25,4.69,1.56,1.56
11955,Moriches,38.57,47.14,2.86,nan,2.86
11956,New Suffolk,44.44,55.56,,nan,
11957,Orient,27.27,9.09,,36.36,
11958,Peconic,26.67,46.67,20,nan,6.67
11959,Quogue,27.27,27.27,,nan,
11960,Remsenburg,27.03,51.35,2.7,nan,2.7
11961,Ridge,28.52,54.3,3.91,1.56,1.17
11962,Sagaponack,28.57,35.71,,nan,
11963,Sag Harbor,23.96,35.42,9.38,1.04,2.08
11964,Shelter Island,17.24,48.28,6.9,3.45,3.45
11965,Shelter Island Heights,52.94,35.29,,11.76,
11967,Shirley,31.29,55.84,1.98,0.2,1.19
11968,Southampton,24.08,44.5,4.71,2.09,1.57
11970,South Jamesport,,33.33,16.67,nan,16.67
11971,Southold,14.46,50.6,12.05,2.41,1.2
11972,Speonk,64.71,17.65,5.88,nan,
11975,Wainscott,11.76,35.29,11.76,11.76,5.88
11976,Water Mill,40.63,25,,6.25,3.13
11977,Westhampton,33.33,26.67,17.78,2.22,
11978,Westhampton Beach,24.51,44.12,8.82,2.94,0.98
11980,Yaphank,28.99,54.35,1.45,2.17,2.17
12008,Alplaus,71.43,14.29,14.29,nan,
12009,Altamont,35.42,11.11,18.06,1.39,4.17
12010,Amsterdam,37.94,20.57,16.31,1.42,1.77
12015,Athens,32,20,12,nan,2
12017,Austerlitz,,,100,nan,
12018,Averill Park,37.01,14.17,21.26,2.36,0.79
12019,Ballston Lake,30.31,18.47,25.09,1.39,4.18
12020,Ballston Spa,27.88,18.59,26.21,1.86,2.23
12022,Berlin,,,,nan,
12023,Berne,27.27,18.18,36.36,nan,
12025,Broadalbin,40.3,25.37,20.9,1.49,2.99
12027,Burnt Hills,27.78,16.67,41.67,nan,
