ZIP_CODE,PO_NAME,New York Yankees,New York Mets,Boston Red Sox,Washington Nationals,Tampa Bay Rays
13431,Poland,28.57,14.29,28.57,nan,
13433,Port Leyden,71.43,,14.29,nan,
13435,Prospect,,,50,nan,50
13436,Raquette Lake,50,,50,nan,
13437,Redfield,,,100,nan,
13438,Remsen,15.79,10.53,,nan,31.58
13439,Richfield Springs,38.46,,30.77,nan,7.69
13440,Rome,33.01,9.8,22.22,3.27,2.94
13450,Roseboom,66.67,,33.33,nan,
13452,Saint Johnsville,27.03,10.81,45.95,2.7,
13454,Salisbury Center,,,100,nan,
13456,Sauquoit,36.84,7.02,22.81,nan,5.26
13459,Sharon Springs,50,40,,nan,
13460,Sherburne,13.04,13.04,13.04,13.04,
13461,Sherrill,53.33,4.44,17.78,2.22,4.44
13464,Smyrna,,33.33,16.67,nan,
13468,Springfield Center,66.67,,,33.33,
13470,Stratford,,50,,nan,
13471,Taberg,42.86,21.43,21.43,nan,
13472,Thendara,,,,nan,
13473,Turin,33.33,,,nan,
13476,Vernon,22.22,5.56,27.78,nan,
13477,Vernon Center,,,33.33,nan,33.33
13478,Verona,32.35,14.71,26.47,nan,
13480,Waterville,28.57,17.86,21.43,nan,3.57
13483,Westdale,100,,,nan,
13485,West Edmeston,,12.5,25,12.5,
13486,Westernville,,,66.67,nan,
13490,Westmoreland,23.53,17.65,11.76,nan,5.88
13491,West Winfield,15,10,30,nan,5
13492,Whitesboro,35.58,14.11,15.95,0.61,1.84
13493,Williamstown,,,,nan,
13494,Woodgate,20,,20,nan,
13495,Yorkville,18.75,6.25,12.5,nan,6.25
13501,Utica,41.48,13.97,21.83,0.87,2.62
13502,Utica,43.25,14.29,17.86,1.59,1.19
13601,Watertown,27.11,6.59,11.72,2.93,1.47
13602,Fort Drum,7.69,7.69,11.54,nan,
13603,Watertown,15.56,11.11,12.22,4.44,
13605,Adams,18.18,4.55,13.64,nan,4.55
13606,Adams Center,8.33,8.33,8.33,nan,8.33
13607,Alexandria Bay,,6.67,26.67,6.67,6.67
13608,Antwerp,20,40,20,nan,
13611,Belleville,75,25,,nan,
13612,Black River,6.67,,40,nan,
13613,Brasher Falls,30,,20,10,
13614,Brier Hill,,,,nan,
13615,Brownville,16.67,50,,nan,
13616,Calcium,28.57,21.43,14.29,nan,
13617,Canton,22.5,6.25,21.25,3.75,
13618,Cape Vincent,29.17,4.17,12.5,12.5,4.17
13619,Carthage,21.43,7.14,20,4.29,
13620,Castorland,9.09,,36.36,13.64,
13621,Chase Mills,,100,,nan,
13622,Chaumont,46.15,,7.69,nan,
13624,Clayton,21.43,7.14,17.86,nan,
13625,Colton,18.18,9.09,45.45,9.09,9.09
13626,Copenhagen,22.22,,22.22,11.11,5.56
13630,De Kalb Junction,50,,,nan,
13632,Depauville,,,50,nan,
13634,Dexter,19.57,13.04,17.39,nan,2.17
13635,Edwards,25,,25,nan,
13636,Ellisburg,,,50,nan,50
13637,Evans Mills,15.79,7.89,21.05,2.63,
13640,Wellesley Island,44.44,,22.22,nan,11.11
13642,Gouverneur,26,4,26,2,4
13646,Hammond,15.38,7.69,7.69,nan,
13648,Harrisville,21.43,7.14,35.71,nan,
13650,Henderson,,,,nan,50
13651,Henderson Harbor,,33.33,50,nan,
13652,Hermon,37.5,,25,nan,
13654,Heuvelton,14.29,,42.86,nan,14.29
13655,Hogansburg,23.08,7.69,15.38,nan,
13656,La Fargeville,18.18,18.18,4.55,nan,
13658,Lisbon,9.09,,9.09,nan,
13659,Lorraine,,,50,nan,
13660,Madrid,14.29,,14.29,nan,
13661,Mannsville,,,100,nan,
13662,Massena,25.24,12.62,22.33,2.91,3.88
13664,Morristown,,,,nan,
13665,Natural Bridge,14.29,,71.43,nan,
13666,Newton Falls,,,66.67,nan,
13667,Norfolk,44.44,,16.67,nan,
13668,Norwood,15.15,18.18,33.33,nan,
13669,Ogdensburg,20.56,10.28,14.95,1.87,7.48
13672,Parishville,20,40,20,20,
13673,Philadelphia,12.5,6.25,18.75,6.25,
13676,Potsdam,12.66,7.59,30.38,2.53,1.27
13679,Redwood,,,25,nan,12.5
13680,Rensselaer Falls,33.33,,66.67,nan,
13681,Richville,50,,,nan,
13682,Rodman,33.33,,33.33,nan,
13684,Russell,5.56,5.56,38.89,nan,5.56
13685,Sackets Harbor,16.67,8.33,16.67,nan,4.17
13690,Star Lake,60,,,nan,
13691,Theresa,11.11,50,,nan,
13692,Thousand Island Park,,,100,nan,
13693,Three Mile Bay,40,,,40,
13694,Waddington,22.22,11.11,33.33,nan,
13697,Winthrop,50,,16.67,nan,16.67
13699,Potsdam,,,66.67,nan,
13730,Afton,11.11,33.33,11.11,nan,
13731,Andes,25,25,,nan,
13732,Apalachin,29.29,1.01,10.1,5.05,2.02
13733,Bainbridge,27.27,6.06,18.18,6.06,3.03
13734,Barton,40,,20,20,
13736,Berkshire,,25,12.5,nan,
13739,Bloomville,33.33,,33.33,nan,
13740,Bovina Center,100,,,nan,
13743,Candor,43.75,6.25,6.25,nan,6.25
13744,Castle Creek,14.29,42.86,,nan,14.29
13746,Chenango Forks,23.08,30.77,23.08,nan,
13748,Conklin,18.37,38.78,12.24,2.04,
13750,Davenport,45.45,36.36,9.09,9.09,
13751,Davenport Center,,,100,nan,
13752,Delancey,,80,10,nan,
13753,Delhi,26.47,17.65,14.71,11.76,
13754,Deposit,20,20,10,nan,10
13755,Downsville,100,,,nan,
13756,East Branch,75,25,,nan,
13757,East Meredith,22.22,5.56,22.22,nan,
13760,Endicott,26.87,14.29,13.65,2.35,2.56
13775,Franklin,38.46,23.08,7.69,nan,7.69
13776,Gilbertsville,,,33.33,nan,
13777,Glen Aubrey,100,,,nan,
13778,Greene,35,10,10,2.5,
13780,Guilford,50,50,,nan,
13782,Hamden,100,,,nan,
13783,Hancock,33.33,,25,nan,
13786,Harpersfield,,,,nan,
13787,Harpursville,21.43,14.29,,nan,
13788,Hobart,31.25,25,31.25,nan,
13790,Johnson City,36.07,10.66,18.85,3.28,5.74
13795,Kirkwood,54.55,12.12,3.03,nan,
13796,Laurens,,40,40,nan,
13797,Lisle,18.18,9.09,,nan,9.09
13801,Mc Donough,,,,nan,
13802,Maine,20,20,,nan,
13803,Marathon,44.44,,5.56,nan,5.56
13804,Masonville,66.67,,,nan,
13807,Milford,50,,,nan,16.67
13808,Morris,26.67,20,33.33,nan,
13809,Mount Upton,28.57,,,nan,14.29
13810,Mount Vision,8.11,48.65,8.11,5.41,
13811,Newark Valley,30,25,20,nan,
13812,Nichols,42.86,14.29,,14.29,14.29
13813,Nineveh,,,,nan,
13815,Norwich,28.26,16.3,22.83,2.17,1.09
13820,Oneonta,24.86,20.23,17.34,5.78,2.31
13825,Otego,28.57,7.14,14.29,nan,
13827,Owego,29.59,12.24,5.1,2.04,1.02
13830,Oxford,41.18,,17.65,5.88,
13833,Port Crane,20,10,20,nan,5
13835,Richford,20,20,,nan,
13838,Sidney,36.59,17.07,12.2,4.88,
13839,Sidney Center,,100,,nan,
13841,Smithville Flats,,,,nan,
13842,South Kortright,100,,,nan,
13843,South New Berlin,14.29,28.57,14.29,nan,
13844,South Plymouth,100,,,nan,
13846,Treadwell,40,20,40,nan,
13849,Unadilla,54.05,16.22,8.11,nan,
13850,Vestal,32.13,16.06,8.84,2.81,2.01
13856,Walton,35.71,25,25,nan,3.57
13859,Wells Bridge,83.33,,,nan,
13861,West Oneonta,25,37.5,,12.5,
13862,Whitney Point,45.45,27.27,9.09,18.18,
13863,Willet,33.33,,,nan,
13864,Willseyville,50,25,,nan,
13865,Windsor,28.57,20,20,2.86,
13901,Binghamton,36.02,15.53,13.66,3.11,2.48
13903,Binghamton,37.42,20.25,12.88,2.45,1.23
13904,Binghamton,12.28,26.32,10.53,1.75,
13905,Binghamton,27.62,15.47,16.02,3.31,1.66
14001,Akron,6.67,3.33,10,nan,1.11
14004,Alden,13.83,6.38,8.51,3.19,
14005,Alexander,6.67,,13.33,6.67,13.33
14006,Angola,4,4,6.67,4,
14008,Appleton,14.29,,14.29,nan,
14009,Arcade,20,10,2.5,2.5,
14011,Attica,15.87,4.76,15.87,nan,
14012,Barker,,,10,nan,
14013,Basom,25,12.5,18.75,nan,
14020,Batavia,11.74,8.7,10.87,0.87,3.48
14024,Bliss,,16.67,,nan,
14025,Boston,6.25,3.13,9.38,9.38,
14026,Bowmansville,16.67,,,nan,16.67
14028,Burt,,12.5,12.5,nan,
14030,Chaffee,20,,20,nan,10
14031,Clarence,11.28,4.51,12.78,0.75,
14032,Clarence Center,5.75,2.3,15.52,nan,
14033,Colden,,,11.76,nan,
14034,Collins,7.69,,23.08,nan,
14036,Corfu,7.69,,,3.85,11.54
14037,Cowlesville,16.67,,,nan,
14040,Darien Center,,,20,nan,
14041,Dayton,,,,nan,
14042,Delevan,6.67,6.67,6.67,nan,
14043,Depew,6.88,2.9,5.8,1.45,1.45
14047,Derby,7.69,3.85,5.77,nan,
14048,Dunkirk,10.46,2.61,3.27,nan,1.96
14051,East Amherst,9.26,3.39,8.35,2.03,2.26
14052,East Aurora,8.45,,7.51,1.41,1.88
14054,East Bethany,,33.33,,nan,
14055,East Concord,,,16.67,16.67,16.67
14056,East Pembroke,,,100,nan,
14057,Eden,9.52,,17.46,3.17,3.17
14058,Elba,10.34,10.34,31.03,nan,
14059,Elma,8.41,3.74,3.74,0.93,4.67
14060,Farmersville Station,,,,nan,100
14062,Forestville,7.14,7.14,3.57,nan,3.57
14063,Fredonia,10.77,3.08,7.69,5.38,1.54
14065,Freedom,36.36,,,nan,9.09
14066,Gainesville,,33.33,,nan,
14067,Gasport,22.86,2.86,5.71,2.86,2.86
14068,Getzville,4.55,0.91,5.45,1.82,1.82
14069,Glenwood,25,,,25,
14070,Gowanda,10.71,,7.14,nan,3.57
14072,Grand Island,10,3.64,6.97,2.12,2.42
14075,Hamburg,7.39,2.46,6.9,1.31,2.3
14080,Holland,15.38,,11.54,nan,7.69
14081,Irving,13.64,,13.64,nan,4.55
14082,Java Center,,,,nan,
14083,Java Village,,,,nan,
14085,Lake View,8.78,1.35,7.43,nan,1.35
14086,Lancaster,8.55,5.58,9.11,2.42,2.42
14091,Lawtons,12.5,12.5,,nan,25
14092,Lewiston,4.5,3,5.5,2.5,2
14094,Lockport,9.27,2.76,7.27,0.75,1.75
14098,Lyndonville,8.7,4.35,4.35,nan,
14101,Machias,18.75,,,nan,
14102,Marilla,33.33,,20,nan,
14103,Medina,8,2,6,nan,2
14105,Middleport,,,11.11,7.41,
14108,Newfane,33.33,3.03,3.03,3.03,3.03
14109,Niagara University,,,,nan,
14111,North Collins,4.55,,,nan,
14113,North Java,,,,nan,
14120,North Tonawanda,8.51,3.44,7.07,1.27,1.45
14125,Oakfield,20,,10,nan,
14127,Orchard Park,8.68,1.51,11.13,2.64,1.13
14129,Perrysburg,7.69,,7.69,nan,
14131,Ransomville,11.63,,6.98,2.33,2.33
14132,Sanborn,6.98,6.98,13.95,nan,
14136,Silver Creek,3.57,3.57,7.14,3.57,7.14
14138,South Dayton,,,,nan,11.11
14139,South Wales,8.33,,,nan,
14141,Springville,7.55,1.89,3.77,nan,
14143,Stafford,50,,,nan,
14145,Strykersville,,,9.09,nan,
14150,Tonawanda,5.5,5.05,8.26,0.69,1.15
14167,Varysburg,,,,nan,28.57
14170,West Falls,,,4.35,nan,
14171,West Valley,11.11,11.11,22.22,nan,
14172,Wilson,12.5,6.25,6.25,nan,
14173,Yorkshire,10,,,nan,10
14174,Youngstown,9.33,1.33,8,2.67,4
14201,Buffalo,8.42,2.11,7.37,4.21,2.11
14202,Buffalo,6.82,2.27,5.68,1.14,1.14
14203,Buffalo,7.69,2.56,7.69,5.13,
14204,Buffalo,22.86,,5.71,nan,2.86
14206,Buffalo,21.71,2.33,7.75,3.1,2.33
14207,Buffalo,27.47,2.2,3.3,1.1,2.2
14208,Buffalo,12,16,8,nan,
14209,Buffalo,11.63,4.65,2.33,5.81,
14210,Buffalo,10.96,2.74,8.22,2.74,1.37
14211,Buffalo,11.9,4.76,2.38,2.38,
14212,Buffalo,6.67,,6.67,nan,
14213,Buffalo,7.26,4.84,3.23,1.61,
14214,Buffalo,9.85,9.09,6.82,2.27,1.52
14215,Buffalo,13.79,6.9,4.6,2.3,
14216,Buffalo,6.62,1.66,6.62,1.99,1.99
14217,Buffalo,6.56,4.26,9.84,0.33,1.64
14218,Buffalo,11.11,,7.41,2.78,0.93
14219,Buffalo,4.72,0.94,7.55,0.94,1.89
14220,Buffalo,9.62,3.46,11.54,1.15,1.15
14221,Buffalo,9.26,3.56,11.16,2.61,1.54
14222,Buffalo,7.57,2.7,5.95,1.08,
14223,Buffalo,8.64,3.65,8.64,1.33,1.33
14224,Buffalo,7.2,3.2,10.2,1.6,1.8
14225,Buffalo,7.47,3.9,8.12,1.62,2.6
14226,Buffalo,7.21,2.88,10.34,2.4,1.2
14227,Buffalo,11.29,3.23,6.45,0.81,0.81
14228,Buffalo,12.4,4.4,4.8,1.6,3.6
14260,Buffalo,,,,100,
14261,Buffalo,20,,20,20,
14301,Niagara Falls,15.38,3.85,9.62,nan,5.77
14303,Niagara Falls,3.13,,6.25,nan,6.25
14304,Niagara Falls,11.95,3.21,9.91,0.58,2.33
14305,Niagara Falls,30.71,2.14,5.71,1.43,0.71
14411,Albion,20.51,7.69,7.69,1.28,
14414,Avon,28.57,1.43,8.57,1.43,
14416,Bergen,,,20,nan,
14418,Branchport,6.67,,46.67,6.67,6.67
14420,Brockport,13.98,5.38,7.53,2.15,1.61
14422,Byron,31.25,6.25,,12.5,
14423,Caledonia,9.68,6.45,16.13,3.23,3.23
14424,Canandaigua,14.09,5.84,15.81,4.12,3.09
14425,Farmington,20,6.96,13.04,2.61,2.61
14427,Castile,12.5,,6.25,nan,
14428,Churchville,11.88,10.89,10.89,3.96,2.97
14432,Clifton Springs,2.94,5.88,5.88,nan,
14433,Clyde,37.84,2.7,8.11,5.41,
14435,Conesus,12,4,4,4,
14437,Dansville,21.67,6.67,15,nan,1.67
14441,Dresden,,,,nan,
14445,East Rochester,23.81,6.35,12.7,1.59,1.59
14450,Fairport,15.47,6.43,20.52,2.45,1.68
14454,Geneseo,15.38,16.48,21.98,1.1,1.1
14456,Geneva,13.44,13.44,20.43,2.15,2.69
14462,Groveland,,20,,nan,
14464,Hamlin,12.07,18.97,6.9,5.17,1.72
14466,Hemlock,25,,16.67,nan,8.33
14467,Henrietta,14.46,2.41,4.82,2.41,2.41
14468,Hilton,14.52,4.84,16.13,3.23,3.23
14469,Bloomfield,13.89,5.56,5.56,5.56,2.78
14470,Holley,10.81,10.81,13.51,2.7,
14471,Honeoye,21.05,5.26,5.26,5.26,
14472,Honeoye Falls,15.83,5.04,14.39,7.19,2.16
14475,Ionia,,,100,nan,
14476,Kendall,13.33,6.67,,nan,
14477,Kent,7.69,,,nan,
14478,Keuka Park,60,,,nan,20
14479,Knowlesville,,,,nan,
14480,Lakeville,12.5,,12.5,nan,12.5
14481,Leicester,12.5,,41.67,nan,4.17
14482,Le Roy,15.48,3.57,11.9,1.19,
14485,Lima,21.95,4.88,14.63,4.88,2.44
14486,Linwood,,,,100,
14487,Livonia,20,2.67,9.33,1.33,2.67
14489,Lyons,26.47,11.76,35.29,nan,
14502,Macedon,15.63,7.03,7.81,1.56,1.56
14504,Manchester,14.29,14.29,14.29,nan,14.29
14505,Marion,33.33,11.11,11.11,nan,
14506,Mendon,,,14.29,nan,4.76
14507,Middlesex,25,,25,nan,
14510,Mount Morris,35,10,5,nan,5
14511,Mumford,57.14,,28.57,nan,
14512,Naples,7.69,,23.08,3.85,3.85
14513,Newark,24.66,9.59,8.22,2.74,1.37
14514,North Chili,14.63,9.76,9.76,3.66,7.32
14516,North Rose,,,14.29,nan,28.57
14517,Nunda,10.71,7.14,10.71,nan,
14519,Ontario,15.38,8.39,10.49,2.1,0.7
14521,Ovid,41.67,,33.33,nan,
14522,Palmyra,26.98,,14.29,1.59,
14525,Pavilion,20,6.67,6.67,nan,
14526,Penfield,12.06,9.8,15.58,4.02,3.27
14527,Penn Yan,19.39,12.24,11.22,1.02,3.06
14530,Perry,17.14,8.57,8.57,2.86,5.71
14532,Phelps,25,10,10,5,
14533,Piffard,13.33,13.33,20,nan,
14534,Pittsford,12.23,7.91,21.04,3.24,0.54
14539,Retsof,,,,nan,
14541,Romulus,4.76,9.52,4.76,4.76,14.29
14543,Rush,25,5.56,13.89,2.78,11.11
14544,Rushville,30,20,10,nan,
14546,Scottsville,12.9,,6.45,3.23,3.23
14548,Shortsville,17.24,3.45,34.48,nan,
14550,Silver Springs,,,7.14,nan,7.14
14551,Sodus,21.43,14.29,17.86,nan,
14555,Sodus Point,,12.5,12.5,12.5,12.5
14557,South Byron,,,,nan,
14559,Spencerport,18.11,8.64,18.11,0.82,2.06
14560,Springwater,10,,50,nan,
14561,Stanley,25,12.5,,nan,
14564,Victor,12.76,7.24,16.9,3.45,1.72
14568,Walworth,24.19,1.61,16.13,nan,
14569,Warsaw,17.46,9.52,11.11,nan,1.59
14571,Waterport,20,,30,nan,
14572,Wayland,23.53,2.94,17.65,5.88,
14580,Webster,16.06,4.86,14.44,3.37,3.51
14586,West Henrietta,17.65,4.41,10.29,1.47,2.21
14589,Williamson,14.71,2.94,14.71,11.76,
14590,Wolcott,28.57,7.14,14.29,nan,
14591,Wyoming,20,,,nan,
14592,York,,,100,nan,
14604,Rochester,23.81,4.76,14.29,7.14,
14605,Rochester,31.82,13.64,4.55,nan,
14606,Rochester,23.61,2.78,15.97,2.78,2.78
14607,Rochester,15.95,9.82,13.5,6.13,1.84
14608,Rochester,17.86,7.14,10.71,3.57,3.57
14609,Rochester,24.13,12.24,11.19,2.45,2.45
14610,Rochester,15.63,6.25,17.71,2.08,
14611,Rochester,20,10,10,5,
14612,Rochester,19.7,4.71,13.7,3,2.36
14613,Rochester,14.71,5.88,5.88,nan,8.82
14614,Rochester,25,,16.67,nan,
14615,Rochester,19.74,10.53,14.47,1.32,1.32
14616,Rochester,13.08,8.41,11.53,2.49,1.25
14617,Rochester,17.15,8.09,13.92,2.91,0.97
14618,Rochester,18.36,10.49,15.08,4.59,1.64
14619,Rochester,21.21,18.18,6.06,3.03,
14620,Rochester,17.95,8.97,12.82,1.28,1.28
14621,Rochester,32.58,10.11,6.74,nan,3.37
14622,Rochester,27.56,10.24,11.02,1.57,
14623,Rochester,20.34,10.73,10.73,1.69,1.69
14624,Rochester,17.83,8.43,14.22,3.37,2.17
14625,Rochester,12.77,2.84,19.86,6.38,4.96
14626,Rochester,20.94,8.82,8.54,3.58,2.2
14627,Rochester,20,20,40,20,
14701,Jamestown,9.46,4.3,6.88,1.43,2.29
14706,Allegany,6.58,2.63,5.26,1.32,
14709,Angelica,,,33.33,22.22,
14710,Ashville,11.54,,11.54,nan,3.85
14711,Belfast,18.18,,18.18,nan,
14712,Bemus Point,5.77,,5.77,1.92,1.92
14715,Bolivar,,,8.33,4.17,
14716,Brocton,12.5,,12.5,nan,
14717,Caneadea,7.69,38.46,7.69,15.38,
14718,Cassadaga,,,6.67,nan,
14719,Cattaraugus,3.45,,6.9,nan,
14721,Ceres,,,50,nan,
14722,Chautauqua,,,25,nan,
14723,Cherry Creek,14.29,,42.86,nan,
14724,Clymer,2.04,,2.04,2.04,
14726,Conewango Valley,20,,20,nan,
14727,Cuba,14.29,,11.9,nan,
14728,Dewittville,10,,,nan,10
14729,East Otto,,,,nan,
14731,Ellicottville,15.79,,10.53,5.26,
14733,Falconer,11.76,5.88,5.88,nan,5.88
14735,Fillmore,5,,30,nan,
14736,Findley Lake,,,16.67,nan,
14737,Franklinville,20,,,nan,
14738,Frewsburg,11.11,,4.44,nan,2.22
14739,Friendship,33.33,,16.67,nan,
14740,Gerry,5.26,,5.26,5.26,
14741,Great Valley,,,17.65,5.88,5.88
14743,Hinsdale,30,,,nan,
14744,Houghton,44.44,,,nan,
14747,Kennedy,14.29,,,14.29,
14748,Kill Buck,,,,nan,
14750,Lakewood,7.35,2.94,5.88,nan,1.47
14753,Limestone,,20,20,nan,20
14754,Little Genesee,,,,nan,
14755,Little Valley,15.79,,10.53,nan,
14757,Mayville,21.21,,,nan,
14760,Olean,12.23,2.66,6.38,2.13,1.6
14767,Panama,,7.14,,7.14,14.29
14769,Portland,,,,nan,
14770,Portville,11.11,,3.7,3.7,
14772,Randolph,9.52,,4.76,nan,
14775,Ripley,,,,nan,
14777,Rushford,,,,nan,
14779,Salamanca,15.15,3.03,,nan,3.03
14781,Sherman,6.67,,,nan,
14782,Sinclairville,5.88,,5.88,nan,5.88
14783,Steamburg,,,,nan,
14784,Stockton,,,,nan,20
14787,Westfield,21.43,4.76,4.76,nan,
14801,Addison,23.08,3.85,15.38,3.85,3.85
14802,Alfred,14.29,14.29,,nan,
14803,Alfred Station,8.33,8.33,16.67,nan,
14804,Almond,,,16.67,8.33,
14805,Alpine,20,80,,nan,
14806,Andover,15.38,,30.77,nan,
14807,Arkport,12.2,4.88,9.76,12.2,
14809,Avoca,30,,,nan,
14810,Bath,30.21,7.29,7.29,4.17,2.08
14812,Beaver Dams,46.67,6.67,13.33,nan,
14813,Belmont,,,23.08,15.38,
14814,Big Flats,18.18,4.55,43.18,nan,2.27
14815,Bradford,33.33,,,nan,
14816,Breesport,,,33.33,nan,
14817,Brooktondale,14.29,28.57,14.29,7.14,
14818,Burdett,38.46,7.69,23.08,nan,
14819,Cameron,,50,,nan,
14820,Cameron Mills,16.67,,66.67,nan,
14821,Campbell,17.86,3.57,7.14,10.71,
14822,Canaseraga,,7.69,15.38,nan,
14823,Canisteo,16.22,13.51,13.51,nan,2.7
14824,Cayuta,,100,,nan,
14825,Chemung,33.33,66.67,,nan,
14826,Cohocton,18.18,,,54.55,
14830,Corning,22.37,8.68,7.76,0.46,1.83
14836,Dalton,,,45.45,9.09,
14837,Dundee,28.57,2.86,5.71,2.86,2.86
14838,Erin,81.82,,,nan,
14839,Greenwood,,,,nan,
14840,Hammondsport,37.5,,15,5,7.5
14841,Hector,16.67,16.67,,nan,
14842,Himrod,,,33.33,nan,
14843,Hornell,28.47,8.33,5.56,0.69,1.39
14845,Horseheads,23.94,11.97,14.67,0.77,1.54
14846,Hunt,,,14.29,28.57,
14847,Interlaken,47.62,4.76,,nan,9.52
14850,Ithaca,17.46,9.92,15.48,4.37,1.19
14853,Ithaca,50,,12.5,12.5,
14858,Lindley,,22.22,11.11,nan,11.11
14860,Lodi,,28.57,,14.29,
14861,Lowman,100,,,nan,
14864,Millport,33.33,33.33,16.67,nan,
14865,Montour Falls,12.5,6.25,25,6.25,
14867,Newfield,27.27,,13.64,4.55,4.55
14869,Odessa,10,20,10,10,
14870,Painted Post,21.59,12.5,15.91,1.14,2.27
14871,Pine City,11.69,19.48,5.19,5.19,2.6
14872,Pine Valley,50,,25,nan,
14873,Prattsburgh,36.36,9.09,,nan,
14877,Rexville,,,,nan,
14878,Rock Stream,,,25,25,
14879,Savona,60,20,6.67,nan,
14880,Scio,10,,10,nan,10
14882,Lansing,29.17,12.5,16.67,4.17,2.08
14883,Spencer,22.22,11.11,11.11,11.11,
14884,Swain,,,,nan,
14885,Troupsburg,,,,nan,
14886,Trumansburg,13.64,10.61,13.64,1.52,4.55
14889,Van Etten,9.09,27.27,27.27,nan,
14891,Watkins Glen,20,20,10,nan,5
14892,Waverly,27.66,14.89,14.89,4.26,
14894,Wellsburg,11.11,11.11,33.33,11.11,
14895,Wellsville,22.5,15,2.5,5,
14897,Whitesville,,,,nan,
14898,Woodhull,,33.33,66.67,nan,
14901,Elmira,35.48,8.06,8.06,1.61,3.23
14903,Elmira,35.25,5.74,9.02,2.46,2.46
14904,Elmira,27.83,6.96,13.04,1.74,3.48
14905,Elmira,22.22,5.93,16.3,2.96,0.74
